name,county,sosid
Elizabeth 04,Cobb,067EL04
Elizabeth 05,Cobb,067EL05
East Piedmont 01,Cobb,067EP01
Fair Oaks 02,Cobb,067FO02
Fair Oaks 04,Cobb,067FO04
Fullers Park 01,Cobb,067FP01
Ford 01,Cobb,067FR01
Frey 01,Cobb,067FY01
Garrison Mill 01,Cobb,067GM01
Gritters 01,Cobb,067GT01
Harmony-Leland 01,Cobb,067HL01
Harrison 01,Cobb,067HR01
Hightower 01,Cobb,067HT01
Hayes 01,Cobb,067HY01
Kennesaw 1A,Cobb,067KE1A
Kennesaw 2A,Cobb,067KE2A
Kennesaw 3A,Cobb,067KE3A
Kennesaw 4A,Cobb,067KE4A
Kennesaw 5A,Cobb,067KE5A
Kell 01,Cobb,067KL01
Kemp 01,Cobb,067KP01
Kemp 02,Cobb,067KP02
Kemp 03,Cobb,067KP03
Lassiter 01,Cobb,067LA01
Lindley 01,Cobb,067LI01
Lost Mountain 01,Cobb,067LM01
Lost Mountain 02,Cobb,067LM02
Lost Mountain 03,Cobb,067LM03
Lost Mountain 04,Cobb,067LM04
Mableton 01,Cobb,067MA01
Mableton 02,Cobb,067MA02
Mableton 03,Cobb,067MA03
Mableton 04,Cobb,067MA04
Mabry 01,Cobb,067MB01
Macland 01,Cobb,067MC01
Murdock 01,Cobb,067MD01
McEachern 01,Cobb,067ME01
McCleskey 01,Cobb,067MK01
McClure 01,Cobb,067ML01
Marietta 1A,Cobb,067MR1A
Marietta 2A,Cobb,067MR2A
Marietta 2B,Cobb,067MR2B
Marietta 3A,Cobb,067MR3A
Marietta 3B,Cobb,067MR3B
Marietta 4A,Cobb,067MR4A
Marietta 4B,Cobb,067MR4B
Marietta 4C,Cobb,067MR4C
Marietta 5A,Cobb,067MR5A
Marietta 5B,Cobb,067MR5B
Marietta 6A,Cobb,067MR6A
Marietta 6B,Cobb,067MR6B
Marietta 7A,Cobb,067MR7A
Mars Hill 01,Cobb,067MS01
Mars Hill 02,Cobb,067MS02
Mt Bethel 01,Cobb,067MT01
Mt Bethel 03,Cobb,067MT03
Mt Bethel 04,Cobb,067MT04
North Cobb 01,Cobb,067NC01
Nickajack 01,Cobb,067NJ01
Norton Park 01,Cobb,067NP01
Nicholson 01,Cobb,067NS01
Oakdale 01,Cobb,067OK01
Oregon 01,Cobb,067OR01
Oregon 02,Cobb,067OR02
Oregon 03,Cobb,067OR03
Oregon 04,Cobb,067OR04
Oregon 05,Cobb,067OR05
Pebblebrook 01,Cobb,067PE01
Powers Ferry 01,Cobb,067PF01
Pine Mountain 01,Cobb,067PM01
Pine Mountain 02,Cobb,067PM02
Post Oak 01,Cobb,067PO01
Pope 01,Cobb,067PP01
Palmer 01,Cobb,067PR01
Pitner 01,Cobb,067PT01
Rocky Mount 01,Cobb,067RM01
Riverside 01,Cobb,067RS01
Roswell 01,Cobb,067RW01
Roswell 02,Cobb,067RW02
Sandy Plains 01,Cobb,067SA01
Shallowford Falls 01,Cobb,067SF01
Simpson 01,Cobb,067SI01
Sewell Mill 01,Cobb,067SM01
Sewell Mill 03,Cobb,067SM03
Smyrna 1A,Cobb,067SN1A
Smyrna 2A,Cobb,067SN2A
Smyrna 3A,Cobb,067SN3A
Smyrna 3B,Cobb,067SN3B
Smyrna 4A,Cobb,067SN4A
Smyrna 5A,Cobb,067SN5A
Smyrna 6A,Cobb,067SN6A
Smyrna 7A,Cobb,067SN7A
Sope Creek 01,Cobb,067SO01
Sope Creek 02,Cobb,067SO02
Sope Creek 03,Cobb,067SO03
Sweetwater 01,Cobb,067SW01
Sweetwater 02,Cobb,067SW02
Terrell Mill 01,Cobb,067TM01
Timber Ridge 01,Cobb,067TR01
Vaughan 01,Cobb,067VA01
Vinings 01,Cobb,067VG01
Vinings 02,Cobb,067VG02
Vinings 03,Cobb,067VG03
Vinings 04,Cobb,067VG04
Wade Green 02,Cobb,067WG02
Willeo 01,Cobb,067WL01
Douglas,Coffee,0691
Ambrose,Coffee,0692
Bridgetown,Coffee,0693
Broxton,Coffee,0694
Nicholls,Coffee,0695
West Green,Coffee,0696
Shaw,Colquitt,0710001
Moultrie,Colquitt,0710002
Autreyville,Colquitt,0710007
Bridgecreek,Colquitt,0710008
Crosland,Colquitt,0710009
Doerun,Colquitt,0710010
Funston,Colquitt,0710011
Hamilton,Colquitt,0710012
Hartsfield,Colquitt,0710013
Hopewell,Colquitt,0710014
Lee,Colquitt,0710015
Millcreek,Colquitt,0710016
Monk,Colquitt,0710017
Murphy,Colquitt,0710018
Norman Park,Colquitt,0710019
Robinson,Colquitt,0710020
Thigpen,Colquitt,0710021
Tyty,Colquitt,0710022
Warrior,Colquitt,0710023
Kiokee Baptist Church,Columbia,073010
Lewis Methodist Church,Columbia,073015
Woodlawn Baptist Church,Columbia,073016
Patriots Park,Columbia,073017
New Life Church,Columbia,073018
Harlem Branch Library,Columbia,073020
Harlem Senior Center,Columbia,073022
Second Mt Moriah Baptist Church,Columbia,073024
Bessie Thomas Center,Columbia,073025
Philadelphia Church,Columbia,073026
Liberty Park-Grovetown,Columbia,073030
Grovetown Methodist Church,Columbia,073031
G A Apostolic Church,Columbia,073032
Grovetown Public Safety Station 2,Columbia,073033
Grove First Baptist Church,Columbia,073034
Eubank-Blanchard Center,Columbia,073040
Second Mt Carmel Baptist Church,Columbia,073050
Damascus Baptist Church,Columbia,073051
Col Cty Bd of Edu,Columbia,073060
Greenbrier High,Columbia,073061
Parkway Baptist Church,Columbia,073062
Riverview Church,Columbia,073063
Grace Baptist Church,Columbia,073064
Christ Sanctified,Columbia,073065
Blanchard Park,Columbia,073070
Belair Baptist Church,Columbia,073075
Marvin Methodist,Columbia,073076
Westside Baptist Church,Columbia,073080
Trinity Baptist Church,Columbia,073085
Abilene Baptist,Columbia,073090
Augusta Christian,Columbia,073100
Savannah Rapids Pavilion,Columbia,073105
Gospel Water Branch,Columbia,073107
Genesis Church,Columbia,073108
Stevens Creek Church,Columbia,073109
Mtz Col Fire Hdqtr,Columbia,073110
Lakeside Middle,Columbia,073111
Martinez Baptist,Columbia,073115
Gold Cross EMS,Columbia,073120
Church of Our Savior,Columbia,073125
West Acres Baptist,Columbia,073130
Journey Comm Church,Columbia,073131
Wesley Methodist,Columbia,073132
Col Cty Main Library,Columbia,073134
Christ Church Presbyterian,Columbia,073135
Blue Ridge Elementary,Columbia,073136
Christ The King Luth Church,Columbia,073137
Cecil,Cook,075C
Delle Beamguard,Cook,075DB
Elm Pine,Cook,075EP
Lenox,Cook,075L
Massee,Cook,075M
New Life Baptist Church,Cook,075NL
Riverbend,Cook,075RB
Sparks,Cook,075S
Senoia,Coweta,07701
Moreland,Coweta,07702
Pine Road,Coweta,07703
Dresden,Coweta,07704
Newnan,Coweta,07705
Sharpsburg,Coweta,07706
Fischer Road,Coweta,07707
Cedar Creek,Coweta,07708
Grantville,Coweta,07709
Haralson,Coweta,07710
Welcome,Coweta,07711
Panther Creek,Coweta,07712
Raymond,Coweta,07713
Turin,Coweta,07714
Smokey Road,Coweta,07715
Central,Coweta,07717
Newnan Centre,Coweta,07718
Greentop,Coweta,07719
Expo Center,Coweta,07720
White Oak,Coweta,07721
Madras,Coweta,07722
Cannongate,Coweta,07723
Westside,Coweta,07724
Northside,Coweta,07725
Thomas Crossroads,Coweta,07726
Coweta Central Library,Coweta,07727
District 1A,Crawford,0791A
District 1B,Crawford,0791B
District 2,Crawford,0792
District 3,Crawford,0793
District 4,Crawford,0794
District 5,Crawford,0795
Arabi,Crisp,081ARABI
Coney,Crisp,081CONEY
Cordele,Crisp,081CORDE
Jamestown,Crisp,081JAMES
Listonia,Crisp,081LISTO
South Dade,Dade,0831038
New Salem,Dade,0831214
Davis,Dade,0831222
New Home,Dade,0831885
West Brow,Dade,0831889
Trenton,Dade,083960
North Dade,Dade,083974
West,Dawson,08501
Central,Dawson,08502
East,Dawson,08503
Mt Pleasant,Decatur,0871277
Recovery,Decatur,0871325
Kendrick,Decatur,0871342
Climax,Decatur,0871361
Brinson,Decatur,0871613
West Bainbridge,Decatur,0871805
Bainbridge-Coliseum,Decatur,087513
BDGE-Fairgrounds,Decatur,087514
Attapulgus,Decatur,087694
Allgood Elem,DeKalb,089AA
Ashford Park Elem,DeKalb,089AB
Austin,DeKalb,089AD
Avondale,DeKalb,089AE
Austin Drive,DeKalb,089AF
Ashford Dunwoody Rd,DeKalb,089AG
Ashford Parkside,DeKalb,089AH
Avondale High,DeKalb,089AI
Boulevard,DeKalb,089BB
Briar Vista Elem,DeKalb,089BC
Briarlake Elem,DeKalb,089BD
Briarwood,DeKalb,089BE
Brockett Elem,DeKalb,089BF
Briarcliff,DeKalb,089BG
Brockett,DeKalb,089BH
Brookhaven,DeKalb,089BI
Browns Mill Elem,DeKalb,089BJ
Bouldercrest Road,DeKalb,089BL
Bethune Middle,DeKalb,089BM
Burgess Elem,DeKalb,089BR
